,id,song,album,singers,genres,popularity,decade,thumbnail,singers_list,genres_list
4601,0SD4eZCN4Kr0wQk56hCdh2,Total Eclipse of the Heart,The Very Best Of Bonnie Tyler,['Bonnie Tyler'],"['disco', 'europop', 'new wave pop', 'soft rock']",66,19,https://i.scdn.co/image/ab6761610000e5ebfdd9bd42889cb7bdeb631931,['Bonnie Tyler'],"['disco', ' europop', ' new wave pop', ' soft rock']"
4602,4Tw2N3wdvJPGEU7JqMxFfE,Think I'm In Love,No Control,['Eddie Money'],"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",59,19,https://i.scdn.co/image/ab6761610000e5eb59808090fb17e636132b0d2a,['Eddie Money'],"['album rock', ' classic rock', ' country rock', ' folk rock', ' hard rock', ' mellow gold', ' pop rock', ' rock', ' soft rock']"
4603,2yrbLiuBmc9j81lTX3XUuI,Shake Your Body ,The Essential Michael Jackson,['The Jacksons'],"['disco', 'funk', 'motown', 'quiet storm', 'soul']",60,20,https://i.scdn.co/image/ab6761610000e5ebf1bfe2ad0c6fb9743556c584,['The Jacksons'],"['disco', ' funk', ' motown', ' quiet storm', ' soul']"
4604,0kObWap02DEg9EAJ3PBxzf,We Built This City,Knee Deep In The Hoopla,['Starship'],"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",63,19,https://i.scdn.co/image/db74da1373e8962671878aa692ce010e7dd4816a,['Starship'],"['album rock', ' mellow gold', ' new romantic', ' new wave', ' new wave pop', ' soft rock']"
4605,19y5MFBH7gohEdGwKM7QsP,Never Too Much,Never Too Much,['Luther Vandross'],"['contemporary r&b', 'funk', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",62,19,https://i.scdn.co/image/ab6761610000e5eb99abcb3e5e3754efe5589f87,['Luther Vandross'],"['contemporary r&b', ' funk', ' neo soul', ' quiet storm', ' r&b', ' soul', ' urban contemporary']"
4606,55vs7NT1KxcFjbMC4y202E,Can't Fight This Feeling,Wheels Are Turnin',['REO Speedwagon'],"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",63,19,https://i.scdn.co/image/ab6761610000e5ebfc5a03aa1823cfbe08b8b2ed,['REO Speedwagon'],"['album rock', ' classic rock', ' hard rock', ' heartland rock', ' mellow gold', ' pop rock', ' rock', ' soft rock']"
4607,0f3EsoviYnRKTkmayI3cux,Overkill,The Essential Men At Work,['Men At Work'],"['album rock', 'australian rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",63,19,https://i.scdn.co/image/296d057590a19ef7dbbe9205186e96cd6078c290,['Men At Work'],"['album rock', ' australian rock', ' mellow gold', ' new romantic', ' new wave', ' new wave pop', ' rock', ' soft rock']"
4608,0O0lrN34wrcuBenkqlEDZe,Pretty in Pink,The Psychedelic Furs Superhits,['The Psychedelic Furs'],"['art rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'rock']",54,20,https://i.scdn.co/image/ab6761610000e5eb72449b2d56f425c18f76fc52,['The Psychedelic Furs'],"['art rock', ' new romantic', ' new wave', ' new wave pop', ' post-punk', ' rock']"
4609,6RGxLsQUoGk5PLyMVwb3yE,Wishing Well,Love Songs ,['Sananda Maitreya'],[],51,20,https://i.scdn.co/image/ab6761610000e5eb5b3e839d57fb4b453a171076,['Sananda Maitreya'],['']
4610,5W5bDNCqJ1jbCgTxDD0Cb3,On the Road Again ,Willie Nelson ,['Willie Nelson'],"['classic country pop', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",70,19,https://i.scdn.co/image/ab6772690000c46ca07b9db029b749adaba3c618,['Willie Nelson'],"['classic country pop', ' country', ' country rock', ' nashville sound', ' outlaw country', ' singer-songwriter', ' texas country']"
4611,19ra5tSw0tWufvUp8GotLo,I Knew You Were Waiting ,Ladies And Gentlemen... The Best Of George Michael,"['George Michael', 'Aretha Franklin']",[],71,19,https://i.scdn.co/image/ab6761610000e5ebf8b74c36ba6c31fc0f58783c,"['George Michael', ' Aretha Franklin']",['']
