,id,song,tags,thumbnail
89,1quFcdrVsBrMlfkUoRWGeu,gulab,"gulab,mann randhawa,,20,19",https://i.scdn.co/image/ab67616d0000b273c6755cc9d0b0193629b0a0aa
90,44SO7hG8JnPeibqOefhgMY,laid back,"laid back,noor tung, the kidd,punjabi pop,20,30",https://i.scdn.co/image/ab6761610000e5eb8110372e9471b997fcf7536b
91,43Tz67xdL3Y2OjpPuMrzld,pakke rang,"pakke rang,roshan prince, gurlez akhtar, mad mix,punjabi pop,20,36",https://i.scdn.co/image/ab67616d0000b273311550c97897479abf55072c
92,56z6Zt5dNIwgD7ajzBwu0A,goli,"never died,dalvir sidhu,,20,27",https://i.scdn.co/image/ab6761610000e5eb61404b5d11cf1c3b2be2ff2b
93,6pU5oz09VUYtnFTd4P1Mxn,muklawa,"ve geetan waleya,ranjit bawa,desi pop, punjabi pop,20,54",https://i.scdn.co/image/ab6761610000e5eb2d32d9527f3524d3ef2bd574
94,3KDhyMTFZlrfAO0zK18z4t,nachle 101,"nachle 101,mickey singh,desi pop, punjabi pop,20,57",https://i.scdn.co/image/ab6761610000e5eb4695d1b6c6c7359e90c51db3
95,66zuqlaTBmoS02ExC4FA4R,patt da sarana,"patt da sarana,jass saini,,20,26",https://i.scdn.co/image/ab6761610000e5eb40d00e34888752ae61cbbec5
96,0TxBLummgAxRkxn21HrLDp,thar,"thar,mannat noor, rajvir jawanda,desi pop, punjabi pop,20,47",https://i.scdn.co/image/ab6761610000e5eb77e059144c8e8bec62104cbf
97,3K3WQXD8V4Y5M4at9hpnpE,rumors,"rumors,vicky kaler,,20,19",https://i.scdn.co/image/ab67616d0000b2739a2c54c7b4fe2d8a46065083
98,1Y2YoNjhDco7zu09ZtiEjM,tod gayi,"tod gayi,khan saab, garry sandhu,,20,46",https://i.scdn.co/image/ab67616d0000b273827e867f124e896600fb49ba
99,7KEQQy9VJpx2xaojUu2VTp,behja behja,"behja behja,the landers, ammy virk,desi hip hop, desi pop, punjabi pop,20,56",https://i.scdn.co/image/ab6761610000e5ebba04d104f57141f64d5fe131
100,00sCATpEvwH48ays7PlQFU,hauli hauli,"hauli hauli,jonita gandhi,modern bollywood,20,69",https://i.scdn.co/image/ab6761610000e5eb8ab0253f4e09d82764ee7b15
101,2GoeZ0qOTt6kjsWW4eA6LS,goriye,"goriye,darshan raval,desi pop, gujarati pop, modern bollywood,20,69",https://i.scdn.co/image/ab6761610000e5ebdeacc5d117ec61f6388af7de
102,7AzzWJUcEEKVTOijy4OeX3,gaani,"gaani,guri,,20,31",https://i.scdn.co/image/ab6761610000e5eb862e5fdc8ebaea20f940a0be
103,7AKO4PWJ6ToZVUfA5xmsIY,saadi yaad,"saadi yaad,sunanda sharma,desi pop, modern bollywood, punjabi pop,20,54",https://i.scdn.co/image/ab6761610000e5ebf7c0027f55703acae60438e1
104,04C4hliPNKc6VZsTzmyyq0,haaye patlo,"haaye patlo,davi singh, guri singh, the landers,punjabi pop,20,41",https://i.scdn.co/image/ab67616d0000b2738fad5ad65affb7d6612f8358
105,7zCChitz4Xn1O7OqXjOhhR,hustling,"back stage to front stage,vicky,punjabi pop,20,51",https://i.scdn.co/image/ab6761610000e5ebb2686102c4169d42ea7abe96
106,4eB5clMaoi0cCRnCwLkkiS,wah kya nazare,"wah kya nazare ,harnoor, gaby fuego,desi pop, punjabi pop,20,62",https://i.scdn.co/image/ab6761610000e5eb73eb44054ab2bb5e2f80f28e
107,3mnR9SJ3hfV6EcrGKH44H9,chan chanani,"chan chanani,karan randhawa,desi pop, punjabi pop,20,54",https://i.scdn.co/image/ab6761610000e5ebd4728cdbf81cc6afd567b842
108,4eB5clMaoi0cCRnCwLkkiS,i dont wanna,"8 chances,harnoor,desi pop, punjabi pop,20,62",https://i.scdn.co/image/ab6761610000e5eb73eb44054ab2bb5e2f80f28e
109,4eB5clMaoi0cCRnCwLkkiS,impress,"8 chances,harnoor,desi pop, punjabi pop,20,62",https://i.scdn.co/image/ab6761610000e5eb73eb44054ab2bb5e2f80f28e
110,1mUl05hT77FrwVFW51wOlr,mainu nai pehchaandi,"mainu nai pehchaandi,jerry, devilo,desi pop, punjabi pop,20,53",https://i.scdn.co/image/ab6761610000e5eb5ce57344a43b0a1ebb6858cb
111,6PdJJhJWHFRtoERTQ8JGq1,taaz,"taaz,navaan sandhu,desi pop, punjabi pop,20,59",https://i.scdn.co/image/ab6761610000e5ebddeafe003f21d93c9d9c737d
